e,estimate,se
-10,-0.006141632841200747,0.02176920433947044
-9,0.003949763870553597,0.025075560578235595
-8,-0.05302483395060884,0.029928184488555915
-7,-0.008757106680961507,0.024356737796831205
-6,0.039288263287552264,0.023612385017247176
-5,-0.012178546713211565,0.023488287372828036
-4,0.004879142052523338,0.024765519444751416
-3,0.008569429289136846,0.022997600775690786
-2,-0.011224768889235171,0.020484140935149258
-1,0.02942283255293577,0.022226578937427126
0,-0.045018015975881925,0.023576129384530138
1,-0.024585301857756793,0.023573973585438678
2,-0.03782866649558723,0.02340888148350957
3,-0.009798169034287868,0.02628270101686383
4,-0.033992439452083564,0.024834037265856264
5,-0.009558278427108564,0.02656622053363993
6,-0.03840558894586364,0.029685567865857174
7,-0.02431933641964068,0.029659966122981933
8,-0.016040167147665717,0.03134863090325206
9,-0.012708519684534682,0.033702542475354286
10,0.009700961347248311,0.028064383391797638
