e,estimate,se
-10,0.06241980636033108,0.103291586056724
-9,0.10258857201264941,0.1145244099040296
-8,-0.05837719042690041,0.10815359986911909
-7,0.11907750875983127,0.16034488557553278
-6,-0.029664589582292077,0.1611817481631162
-5,0.005857715732722119,0.1414075477500358
-4,-0.013357650395670254,0.1346514740425244
-3,0.13469111540472054,0.12446990804413671
-2,-0.18362123288421092,0.10081210682221758
-1,0.1814911769922649,0.10297654753153171
0,0.011111163516292351,0.1000144273116268
1,-0.08380893324857064,0.14387878261366463
2,-0.021644726326666214,0.10570386941109336
3,0.016276982045855884,0.08707975451523445
4,-0.18099945408871543,0.16656274813852878
5,0.18816187580232357,0.10299796033290079
6,0.09509604158403812,0.08365541381576151
7,-0.012764550910680064,0.21466094280474624
8,-0.002570389441900458,0.17112701402833316
9,0.006215500004830097,0.17006755257057088
10,0.0037603229731841253,0.15427111761359963
