year,estimate,se
2004,-0.0037315644894035938,0.07376809222802588
2005,0.06495331067982923,0.06251385434350237
2006,-0.004659737770582484,0.055949010773423034
2007,-0.04900876102749652,0.07008761567767871
2008,-0.06356847042397451,0.06223791423644323
2009,-0.03777781642895051,0.0652255967905602
2010,-0.12938924397211649,0.06629121774516798
2011,-0.03803581328278784,0.05918989120388802
2012,-0.03884045028130202,0.06025236460035408
2013,0.06927252166463051,0.07211890398228317
2014,0.06060904956686776,0.05820051903289787
2015,0.030356450382508872,0.06890554487295696
2016,-0.035352422906410656,0.0626102596045379
2017,0.07598405309694227,0.052868082606897474
2018,-0.014279542772369059,0.05768739359681281
2019,0.019656498860678582,0.05920939065057578
2020,-0.00603561587739171,0.07017487893815502
2021,-0.017985476387324326,0.05884108416937044
2022,-0.0010196298344139947,0.06029861362379028
2023,0.04373043511537776,0.06222486278508475
2024,-0.059647211834358456,0.0768079811431387
