year,estimate,se
2004,-0.03707219471326617,0.024474574400299907
2005,0.015008656188821967,0.023189445599896285
2006,-0.012537388901039503,0.023701115005285232
2007,0.013025333834092878,0.02448224265157656
2008,0.03206408902356528,0.02457098012856491
2009,0.013759394017318106,0.020712786196769174
2010,0.012775569613039332,0.02308937422913939
2011,0.032366082119593596,0.02224701175099514
2012,0.029143622866329048,0.021236152017846635
2013,0.011914488389291376,0.025923491704182778
2014,0.01683279374471955,0.022969986867155717
2015,-0.005563369466694041,0.022161428981907236
2016,0.05576047174308974,0.022675218549212495
2017,-7.618597095864899e-05,0.024120654497984895
2018,0.023320275122785103,0.0197761244434108
2019,0.007818360207738004,0.02260418621663907
2020,0.01455128533269828,0.022028456342296162
2021,0.042045315930651604,0.01949997283184264
2022,0.034295511393733824,0.02101760711602272
2023,0.06474976212448091,0.019256676952410685
2024,0.05867786149521298,0.017914333055299825
