year,estimate,se
2004,-0.7977823221850144,1.9369773359739035
2005,1.3537036362362826,1.9404478623112518
2006,1.2198682810953123,1.8890757615278102
2007,2.5220129054168012,1.6932192065025229
2008,2.781785837346611,1.732208980139428
2009,1.4343989703289406,1.4375462020215197
2010,3.224252752247361,1.517271749441272
2011,0.8214868567292031,1.4278665799036931
2012,3.241885203039685,1.3842016815714697
2013,2.4154420552073184,1.7201081334312056
2014,2.1822023135051256,1.4560705616035385
2015,-0.11689947606521009,1.5644616421939892
2016,2.8575359827665565,1.4585968051979583
2017,1.948461618588722,1.5920199557093797
2018,0.5696357329712196,1.2364330069038314
2019,1.396403150122349,1.2520200927285137
2020,0.16458804179882652,1.1721862947754154
2021,0.5789741025589392,1.0975681413506435
2022,-0.5335440633901141,1.1023297145567266
2023,1.309783669921524,1.390872410606378
2024,1.2578302690165049,0.9990396835658091
