e,estimate,se
-10,-0.0289664126194325,0.023354993572203605
-9,-0.018083516784365303,0.025483177183393026
-8,-0.02419019030112409,0.025412117233013176
-7,0.031967591928394115,0.024713762682556806
-6,-0.01769377428985282,0.02314515865488851
-5,0.01823352355118859,0.025236974776443072
-4,-0.01097348806590187,0.024323077736966976
-3,0.012419563970412491,0.022742800802925223
-2,0.019679765546167266,0.023391693869195315
-1,-0.01712328103421655,0.02271642698730311
0,-0.0004206911410698041,0.01986873401605051
1,0.0051657320189023356,0.021466596059244322
2,0.008042255387410773,0.023227197474414964
3,0.043950834946023774,0.022765349989743194
4,-0.01513662890470499,0.0270708672932431
5,0.002435216753702378,0.03126199684796321
6,0.027013794009733638,0.027789925511770893
7,0.007592224809074025,0.03462894377022832
8,0.049549917214617045,0.03369392736154228
9,0.04183519329348876,0.033311523699144654
10,0.054066641227482407,0.03132824424389
