g,t,ATT
2004,1990,-0.0038809277866983516
2004,1991,-0.03342850855172169
2004,1992,0.029288586072840406
2004,1993,-0.02021172976093283
2004,1994,-0.007080190294071753
2004,1995,-0.061802099471879146
2004,1996,0.024972311668133018
2004,1997,-0.0004113546709625382
2004,1998,0.04509726593391539
2004,1999,0.022168178604153987
2004,2000,-0.008704555503354694
2004,2001,0.02054486078802542
2004,2002,0.009388258151539208
2004,2003,-0.004237963686601676
2004,2004,-0.01427782309101644
2004,2005,-0.050132631670813665
2004,2006,-0.056777511663912705
2004,2007,-0.02780845515243424
2004,2008,0.011823687884576661
2004,2009,0.029119821896165077
2004,2010,0.013100176972270727
2004,2011,0.02811650460307874
2004,2012,0.02143391143194745
2004,2013,0.05158163992747322
2004,2014,0.043524795605415334
2004,2015,0.003843932111807835
2004,2016,0.06911208911834066
2004,2017,0.004343131928893573
2004,2018,0.0013631023530912834
2004,2019,0.06073096226497132
2004,2020,0.03207156100040487
2004,2021,0.01663736422806228
2004,2022,0.08812683900069462
2004,2023,0.051236843480086725
2004,2024,0.01713185257130878
2009,1990,-0.034622846397812324
2009,1991,-0.04938961381782975
2009,1992,-0.0035151134818935392
2009,1993,0.057694341791200254
2009,1994,0.035841616312912605
2009,1995,0.02555965721395892
2009,1996,-0.11226418155369133
2009,1997,0.05459094721076152
2009,1998,-0.007505730551132017
2009,1999,0.005575561350560809
2009,2000,0.05844028830358916
2009,2001,0.07544755489826616
2009,2002,-0.055189446188368296
2009,2003,0.019717571562135383
2009,2004,-0.009282121354737383
2009,2005,0.03653769116330419
2009,2006,-0.0017191103287995668
2009,2007,0.028281260706101485
2009,2008,0.008660262966749044
2009,2009,-0.11087703848975505
2009,2010,-0.16081363313452962
2009,2011,-0.2106927736448388
2009,2012,-0.08865555304917283
2009,2013,-0.12432459498941606
2009,2014,-0.15719796539197312
2009,2015,-0.17786440228129918
2009,2016,0.0764575049713615
2009,2017,0.013581219016992052
2009,2018,-0.19303910947040093
2009,2019,-0.0060882906047573515
2009,2020,-0.06418799811577613
2009,2021,-0.01727189364265347
2009,2022,-0.159471894385738
2009,2023,-0.043165334541584666
2009,2024,-0.07610081885862974
2014,1990,0.1490460551465851
2014,1991,-0.08532055484421441
2014,1992,0.15916479989659138
2014,1993,-0.14476158339120804
2014,1994,0.08587254565026159
2014,1995,0.023981675570739158
2014,1996,-0.017215045679661256
2014,1997,-0.07822359015831193
2014,1998,0.15437198554820852
2014,1999,-0.07179295320403223
2014,2000,0.02012309965400272
2014,2001,-0.016670897357013437
2014,2002,0.006912627733353438
2014,2003,-0.025732228257148715
2014,2004,0.08463526505543406
2014,2005,-0.016557709323917758
2014,2006,-0.12897707007403525
2014,2007,0.05000840745202639
2014,2008,-0.028937833948225355
2014,2009,0.06982209956663199
2014,2010,-0.05559317657421803
2014,2011,-0.06369793728316742
2014,2012,0.06878954222669142
2014,2013,-0.02574305205963423
2014,2014,-0.03134320174299987
2014,2015,0.32947785812521857
2014,2016,-0.1223881000240804
2014,2017,0.030984911817971694
2014,2018,-0.045855805441960995
2014,2019,-0.16751394408321796
2014,2020,0.08022307699147968
2014,2021,0.1459993200816907
2014,2022,0.2715316808925554
2014,2023,0.13656573012041806
2014,2024,0.020382853781946375
2018,1990,-0.027460126054656198
2018,1991,0.03425136292311309
2018,1992,0.019087955225129016
2018,1993,-0.015395105467853443
2018,1994,-0.0458076296296428
2018,1995,-0.05162084557576374
2018,1996,0.05030642957667392
2018,1997,0.024049273718811826
2018,1998,-0.0032982321594290376
2018,1999,0.047175956792492035
2018,2000,0.0399117995045869
2018,2001,-0.05406525588078703
2018,2002,0.022019070657177953
2018,2003,0.08119208807469275
2018,2004,-0.009542963561118833
2018,2005,-0.03176959670704582
2018,2006,0.0800014222601435
2018,2007,-0.09172843942088116
2018,2008,0.047119390722828114
2018,2009,-0.05164275033889104
2018,2010,0.05132025636356796
2018,2011,0.0062779041096195365
2018,2012,0.05909596887691104
2018,2013,-0.06001337955258079
2018,2014,0.009132460131936804
2018,2015,0.04588220603219517
2018,2016,-0.06450205182394253
2018,2017,-0.05099507398838682
2018,2018,0.06055461595298933
2018,2019,-0.012776396361665887
2018,2020,0.04220619447530022
2018,2021,0.016491173374279522
2018,2022,0.07146747161289851
2018,2023,0.10456932803321589
2018,2024,0.0581747967852842
2020,1990,-0.0771882762136693
2020,1991,-0.10531514048240154
2020,1992,0.11086507457094108
2020,1993,0.06226761443016671
2020,1994,-0.1985241219261326
2020,1995,0.017631942235280695
2020,1996,-0.0011881504472619486
2020,1997,0.08434149693017456
2020,1998,-0.07681064273884952
2020,1999,0.08554342902970147
2020,2000,-0.027700172900512632
2020,2001,0.008381922994240565
2020,2002,0.11200673646654924
2020,2003,-0.07799377242205918
2020,2004,-0.04273173478634573
2020,2005,0.011509456648058691
2020,2006,0.06541857761255743
2020,2007,-0.0021199325796256163
2020,2008,0.03808835031520086
2020,2009,-0.033775053082668594
2020,2010,-0.03801311814511876
2020,2011,-0.06457421351194531
2020,2012,0.1306915630595636
2020,2013,-0.04225640630451111
2020,2014,-0.04238572230501547
2020,2015,0.04900676660040759
2020,2016,-0.05752471814095317
2020,2017,0.04184631269436201
2020,2018,-0.04556156153404323
2020,2019,0.03287246831815893
2020,2020,0.12449874380568127
2020,2021,0.04757161483228278
2020,2022,-0.048121510765318565
2020,2023,-0.07146686136715052
2020,2024,-0.003000228499388524
2021,1990,-0.0362733828648909
2021,1991,0.019606301360140965
2021,1992,0.0017228303073545392
2021,1993,-0.013905484172993643
2021,1994,0.09820811513309913
2021,1995,-0.023848828900831953
2021,1996,-0.012062800487336212
2021,1997,0.00283864255209354
2021,1998,0.10584701206074598
2021,1999,0.019175145923076453
2021,2000,-0.07421405107056833
2021,2001,0.03948744632077217
2021,2002,-0.035750011008798044
2021,2003,0.10044553327593553
2021,2004,-0.12644096762652846
2021,2005,-0.025465691143615632
2021,2006,0.010016545601664095
2021,2007,0.09583972497833515
2021,2008,0.08480705082944617
2021,2009,0.0008151355070411537
2021,2010,-0.17953523442225183
2021,2011,0.15673477611830344
2021,2012,-0.07896942178171529
2021,2013,-0.0412601197858502
2021,2014,0.015200429260962989
2021,2015,0.027685728503645035
2021,2016,0.03983167449690339
2021,2017,-0.04565454074976916
2021,2018,0.09906154733725991
2021,2019,-0.10061419719773335
2021,2020,0.04253019253020551
2021,2021,0.01338165259095525
2021,2022,0.06277567649374416
2021,2023,-0.08965874803698182
2021,2024,-0.045778821313939067
2022,1990,-0.08610176482834486
2022,1991,-0.3195744139054311
2022,1992,0.104518042687404
2022,1993,0.2015716208449042
2022,1994,-0.30102130043787717
2022,1995,-0.08160500703002843
2022,1996,0.2919382259852995
2022,1997,0.0018978225402808135
2022,1998,0.03387055770780756
2022,1999,-0.06639790825265512
2022,2000,0.03406754910982901
2022,2001,-0.004788295244948171
2022,2002,0.05232062160404416
2022,2003,0.010359269902133317
2022,2004,-0.07964863058941996
2022,2005,0.036112833138792655
2022,2006,0.0344931919711442
2022,2007,-0.01111958761704157
2022,2008,0.05206551437110296
2022,2009,0.010821848697976644
2022,2010,-0.0404352077351019
2022,2011,-0.02264580776874614
2022,2012,0.03323392571993278
2022,2013,-0.04209930447274912
2022,2014,0.1274116779783958
2022,2015,-0.02803845287505613
2022,2016,-0.12983433668045075
2022,2017,-0.047238076040615806
2022,2018,0.1679385361366721
2022,2019,-0.05974810330368885
2022,2020,0.009232454366334353
2022,2021,0.04485592873723576
2022,2022,-0.047904121554802614
2022,2023,-0.22422896433181116
2022,2024,-0.23789291510538618
2023,1990,0.032092448921537065
2023,1991,-0.03590622073260841
2023,1992,-0.030112679227369488
2023,1993,0.025313048239262947
2023,1994,0.023201455049931097
2023,1995,0.08445932389559141
2023,1996,0.014153046913518819
2023,1997,-0.014313276134478747
2023,1998,-0.029084414322835928
2023,1999,0.06789090195235126
2023,2000,-0.02975574476058418
2023,2001,-0.0628626568514774
2023,2002,-0.008751377750000677
2023,2003,0.04782049133174249
2023,2004,-0.12999755621020714
2023,2005,0.1352522272448441
2023,2006,-0.017126310340500384
2023,2007,-0.014130234573063616
2023,2008,0.038272000539280815
2023,2009,-0.04720650006926297
2023,2010,0.1862521794453711
2023,2011,-0.10354629316884634
2023,2012,-0.2488992136147853
2023,2013,0.14077370622666618
2023,2014,0.07295869879180794
2023,2015,-0.028838595512305165
2023,2016,0.12755239912039973
2023,2017,-0.1264067428459078
2023,2018,0.09573987197986744
2023,2019,-0.021379997877545076
2023,2020,-0.23974286907049047
2023,2021,0.24484009212203406
2023,2022,-0.15520881120507013
2023,2023,0.1578407587740075
2023,2024,0.056401216929060194
2024,1990,-0.19230275176171002
2024,1991,0.12573371025256558
2024,1992,0.08373444193519453
2024,1993,-0.12401702724594499
2024,1994,-0.009638398926037794
2024,1995,0.06684269185498293
2024,1996,-0.038725803054443064
2024,1997,0.029483259808108286
2024,1998,-0.0815845900296851
2024,1999,-0.0356779275295076
2024,2000,0.07167841028216437
2024,2001,0.00908400806779286
2024,2002,-0.018422707024703833
2024,2003,0.024523802325117305
2024,2004,-0.02002139041033557
2024,2005,0.037585312634456636
2024,2006,0.02522168621262766
2024,2007,-0.002696877452714186
2024,2008,0.008126180683772022
2024,2009,0.07309500696763727
2024,2010,-0.04608984485128231
2024,2011,0.005421575716356375
2024,2012,0.05053571426604142
2024,2013,-0.1733553924887853
2024,2014,0.05106855451036574
2024,2015,0.02963887499351081
2024,2016,0.029272743148965108
2024,2017,-0.07379271756462658
2024,2018,0.05475893904033069
2024,2019,-0.0021547194101593226
2024,2020,-0.07974816592629425
2024,2021,0.23279249022144105
2024,2022,-0.012679018710486378
2024,2023,-0.14684293019902217
2024,2024,-0.10266523710956826
