year,estimate,se
2004,1.42278491688851,1.3195047719136581
2005,-0.04910485368187522,1.2937825162067098
2006,1.288713308358368,1.4080349722179264
2007,0.6046973556401376,1.4020424226042583
2008,0.6994594938895986,1.3291654533480917
2009,1.2220290813847865,1.1574026521196314
2010,-1.4188265739224937,1.40183969550665
2011,-1.203065635159208,1.2390655688553058
2012,-0.9083881238699049,1.1806577493684205
2013,-0.0680208662591013,1.4324948078497086
2014,-0.7930856211132634,1.4129287867931983
2015,-1.520011898297283,1.162116850171728
2016,-1.0145442662085022,1.2710777593662954
2017,-0.48370023363807024,1.3122460854165954
2018,0.002648140928916458,1.0798653731250314
2019,-0.24084475902176555,1.2771468654349691
2020,1.2088763543866534,1.0550387898222775
2021,0.20732097996298351,1.0548358043945123
2022,-1.4919931910855662,1.18960475821784
2023,-0.3034423860539743,1.167768611200764
2024,-0.37389581933455823,1.1025216431277949
