year,estimate,se
2004,-0.7609497314364901,1.4811240755272848
2005,-1.2826298994383514,1.5650979642381757
2006,-1.6067958865836225,1.4315814677657535
2007,-1.2663067409720163,1.252675029027653
2008,-0.9966874516539832,1.4499694222353912
2009,-0.8335016586216194,1.3152356738218114
2010,-0.5292931630864454,1.2334215293635156
2011,-0.6339184374605767,1.527852976648681
2012,-1.408481309747916,1.4913431288220103
2013,-0.23734626780525195,1.5744016957864129
2014,-0.3289584929634025,1.3259384139741957
2015,-2.07122178583257,1.492942099382702
2016,1.5438927443073416,1.5569365429645872
2017,0.11693822693705168,1.6472814591847917
2018,-0.09696130354716798,1.2474134187668204
2019,0.23842387972142276,1.4958147746038044
2020,-0.2233080832657708,1.5961530059311593
2021,-1.274269784663914,1.352055239848315
2022,-0.5182036623552982,1.399357971720099
2023,0.7725711135651169,1.5059657551288523
2024,-0.009898651327368814,1.4831025883734779
