e,estimate,se
-10,0.1090672539645064,0.6845099548938526
-9,-1.5172373391066687,0.6893074133536727
-8,0.9656697618580821,0.6509822279150431
-7,0.14182295038273846,0.705958855192253
-6,-0.07132825207527188,0.7112728126184082
-5,0.4167671256652767,0.7363795715687279
-4,0.3450481011993767,0.7050526962318223
-3,0.41388389634873624,0.736839405172867
-2,0.1516531478718989,0.7510354580477955
-1,-0.13483972855457713,0.7626200225401112
0,-0.5461855802757141,0.7604066162674373
1,0.09067046576993837,0.7908864439072594
2,-0.20772721068878014,0.8561058432422258
3,0.329725624205492,0.8175337504446502
4,0.11844702241078968,0.8986129562134755
5,0.3991463609406536,0.979034267555181
6,0.6749949927232779,0.8871532581139162
7,1.1605388938070973,0.9832219814543753
8,1.0721158373428166,1.0331531704327126
9,1.1275937843262385,1.0847585763824266
10,1.4679301312709891,1.0754918018484356
