year,estimate,se
2004,-0.06054691720715122,0.04111669574699903
2005,0.03569775991174173,0.03980098209530868
2006,0.01489180930172107,0.0396596283908914
2007,0.02590923793208333,0.03840604871059358
2008,0.011148140166997722,0.03591925306012564
2009,0.012243086351392906,0.0315371105541417
2010,-0.00818555188695445,0.0336645962785695
2011,0.004833689300764418,0.03199681877542351
2012,0.07131809617426119,0.03221613361323912
2013,0.028371667531411123,0.03849918878585713
2014,0.030709306546290616,0.03511467403358234
2015,-0.00783455969267606,0.03906678196630235
2016,0.05775951049592579,0.03569416166956008
2017,-0.006940442760096719,0.03830022261416864
2018,0.032684707481922565,0.030043719295890958
2019,0.0017127753897398217,0.03210608076090612
2020,0.01543914054694954,0.02988459894084786
2021,0.027633235428121496,0.031209511188003854
2022,0.03939566858454082,0.029231879599783135
2023,0.04050619965104114,0.02890810058331376
2024,0.024343360838892308,0.02812727994549104
