g,t,ATT
2004,1990,0.005649999562134939
2004,1991,0.014577953194138377
2004,1992,-0.031652583051137786
2004,1993,0.0013965981064568145
2004,1994,0.017336010391092005
2004,1995,-0.0010599726460909648
2004,1996,-0.0031763393227029896
2004,1997,-0.013500395611597243
2004,1998,-0.013326082753678178
2004,1999,0.003421947410177338
2004,2000,0.0003595706286579278
2004,2001,0.0018813156312272733
2004,2002,-0.00035816527100211715
2004,2003,0.0016010767492541794
2004,2004,-0.003548574796058121
2004,2005,-0.02176453272482254
2004,2006,-0.008527074976338853
2004,2007,-0.011227810454888146
2004,2008,-0.0023632995448498034
2004,2009,0.006775573060224471
2004,2010,0.0009396666129892206
2004,2011,-0.004972004380794287
2004,2012,-0.012111292579071085
2004,2013,-0.015809439837855085
2004,2014,-0.021801204740705994
2004,2015,-0.021672760907297056
2004,2016,-0.0052657868035004066
2004,2017,-0.010597431334305032
2004,2018,-0.023964932797203457
2004,2019,-0.0116056926954171
2004,2020,-0.02003517134714769
2004,2021,-0.025233135092509892
2004,2022,-0.025215085613166988
2004,2023,-0.026132569571492695
2004,2024,-0.012502913637376892
2009,1990,0.02602474796583891
2009,1991,-0.014415086275529267
2009,1992,-0.0015641605270347025
2009,1993,-0.0006802845518177822
2009,1994,-0.0024428105945912687
2009,1995,0.023301689199855397
2009,1996,0.0006833574546921684
2009,1997,-0.01543950826480299
2009,1998,-0.010334990211424491
2009,1999,0.01054330024705314
2009,2000,-0.015171870284331875
2009,2001,-0.0012772583097132653
2009,2002,0.011532501445507534
2009,2003,0.016620476531966542
2009,2004,-0.0032971597694455568
2009,2005,0.0029708395011537603
2009,2006,-0.023440080778185768
2009,2007,-0.0026275463721676107
2009,2008,0.004885390065357237
2009,2009,-0.007179312470405784
2009,2010,-0.007197530668689361
2009,2011,0.002110454550092261
2009,2012,-0.0021560527757005232
2009,2013,-0.0072903888632438255
2009,2014,-0.006989045138401553
2009,2015,-0.004863967151665129
2009,2016,0.018582757589382153
2009,2017,0.033209643217935444
2009,2018,-0.0008910883948940115
2009,2019,0.016323508336853754
2009,2020,0.024034327693771708
2009,2021,-0.006147087928057855
2009,2022,0.017661677332167114
2009,2023,0.01702835484197744
2009,2024,0.006281155665832927
2014,1990,0.021108815919468685
2014,1991,-0.002553688590565359
2014,1992,0.030064060628813713
2014,1993,-0.00943687541064496
2014,1994,0.004847519741784323
2014,1995,0.0008261199464297125
2014,1996,-0.03395979115157216
2014,1997,-0.058958471517551105
2014,1998,0.10068911354495362
2014,1999,-0.019132126001058597
2014,2000,-0.04851930415012566
2014,2001,0.03228434899639081
2014,2002,-0.005445712988154661
2014,2003,-0.027046963933003612
2014,2004,0.003302548672437733
2014,2005,0.007254015708950942
2014,2006,-0.005211917196630847
2014,2007,0.04680357120236443
2014,2008,-0.029290642435617353
2014,2009,0.0053560759016091225
2014,2010,-0.035254745790711285
2014,2011,0.015230655986267966
2014,2012,-0.003218742749159946
2014,2013,0.029671774221122105
2014,2014,-0.03877681630166915
2014,2015,-0.004292431221975354
2014,2016,-0.04134860435012404
2014,2017,-0.02615880820281828
2014,2018,-0.04284501949699472
2014,2019,-0.03541199228856623
2014,2020,-0.03632648884492386
2014,2021,-0.04461775413357166
2014,2022,-0.0009332035673894346
2014,2023,-0.06310080512826617
2014,2024,-0.024232710983318216
2018,1990,0.00810564936574068
2018,1991,-0.013972983313836465
2018,1992,-0.011000515240981404
2018,1993,-0.00966777192146992
2018,1994,0.05210924698088132
2018,1995,-0.05592971289351578
2018,1996,0.0124210456925627
2018,1997,-0.011916578706270567
2018,1998,0.008004808444254885
2018,1999,0.003323100835518303
2018,2000,-0.011160453349434572
2018,2001,0.015574610508233278
2018,2002,-0.014608334498066824
2018,2003,-0.009842304875990832
2018,2004,0.0007547959800144333
2018,2005,0.013377064200441546
2018,2006,-0.016078585378542544
2018,2007,-0.003460604556282533
2018,2008,0.021770363743576188
2018,2009,-0.001413996846151143
2018,2010,-0.003794362223385188
2018,2011,0.005999492129851625
2018,2012,0.0009981891306561838
2018,2013,-0.014001081876948408
2018,2014,-0.0033347803904490644
2018,2015,0.022131903068469107
2018,2016,-0.01768001182539515
2018,2017,0.008290994343477465
2018,2018,0.00036056766872546997
2018,2019,0.011218217034236304
2018,2020,0.029243591606249085
2018,2021,0.008330478150127996
2018,2022,0.0008531337774676101
2018,2023,-0.015022797746179473
2018,2024,-0.004348706368982769
2020,1990,0.003328846679789818
2020,1991,-0.033622184187317
2020,1992,-0.003145105466033707
2020,1993,0.023523267505103633
2020,1994,0.06095340149091873
2020,1995,-0.07314893118125793
2020,1996,0.03470384059662619
2020,1997,-0.048806146797238686
2020,1998,0.03829302603332159
2020,1999,0.021684130571188703
2020,2000,-0.032280294783373145
2020,2001,-0.007251598513068017
2020,2002,0.003409221387664696
2020,2003,-0.01261477545861625
2020,2004,-0.0034334202401437863
2020,2005,0.026726489117200505
2020,2006,-0.01656202455265239
2020,2007,-0.02999262380532397
2020,2008,0.03970052059767529
2020,2009,0.06495555764931941
2020,2010,-0.09623432837728872
2020,2011,0.022020775968873384
2020,2012,0.004427700013165926
2020,2013,0.021617899058828785
2020,2014,-0.0016459940478861512
2020,2015,-0.012367912349713267
2020,2016,-0.030207409172982223
2020,2017,0.012585651591032816
2020,2018,0.0197811676522007
2020,2019,-0.008719812910882321
2020,2020,-0.017504501806984978
2020,2021,-0.0074206995474596985
2020,2022,-0.030473477893374436
2020,2023,-0.003637596360767062
2020,2024,-0.0047836940460231694
2021,1990,-0.02648225077951459
2021,1991,0.001044661595543464
2021,1992,0.014971566767829167
2021,1993,-0.007155061183111017
2021,1994,0.011066293714072431
2021,1995,-0.011047015320628184
2021,1996,-0.008263445248249957
2021,1997,0.0026701750449008993
2021,1998,0.020846756882377318
2021,1999,0.015668155076329487
2021,2000,-0.03444168412201644
2021,2001,-0.0006157165086010524
2021,2002,0.005384198835233653
2021,2003,-0.03507260599971853
2021,2004,0.007484608047533571
2021,2005,0.020186110901954546
2021,2006,0.00019782775522177165
2021,2007,0.015187896418605726
2021,2008,-0.06726938847544964
2021,2009,0.028992236874828183
2021,2010,-0.027300982526478775
2021,2011,0.007103902769932814
2021,2012,0.043909358173691126
2021,2013,-0.010240936043856397
2021,2014,0.016140925673864714
2021,2015,-0.008504054718244877
2021,2016,-0.024220305144940307
2021,2017,0.018547719925870027
2021,2018,-0.01832142396034645
2021,2019,0.012604964372679071
2021,2020,0.03637002894212812
2021,2021,-0.042823594706672664
2021,2022,-0.04012620268195909
2021,2023,-0.014553616691413022
2021,2024,-0.03627825372278508
2022,1990,0.052767874332499715
2022,1991,0.033922467853293406
2022,1992,-0.07873077572261228
2022,1993,-0.020126528105571112
2022,1994,-0.017582056188162144
2022,1995,0.018516225521712844
2022,1996,-0.008634515337115518
2022,1997,0.02664270989142794
2022,1998,-0.0027646255188597257
2022,1999,0.02350647051379616
2022,2000,-0.026043666079928793
2022,2001,0.0066111257515831245
2022,2002,0.006565290127712939
2022,2003,0.0035255657626796083
2022,2004,-0.008067185266839527
2022,2005,0.005867838515592402
2022,2006,-0.006537870131912912
2022,2007,-0.03374170051417948
2022,2008,0.024581733920960254
2022,2009,0.0187815985796171
2022,2010,-0.031713223237867474
2022,2011,0.011835770430150994
2022,2012,-0.017551696573412948
2022,2013,0.01979021291796576
2022,2014,0.005734083240174048
2022,2015,-0.0103909880209107
2022,2016,-0.004153553547373401
2022,2017,0.008655335077884657
2022,2018,0.010253333495522245
2022,2019,-0.04570733939928343
2022,2020,0.02274294090094634
2022,2021,0.0264605323761153
2022,2022,0.01053444490863266
2022,2023,-0.023343175963578995
2022,2024,0.018411040195922407
2023,1990,0.025402094259537843
2023,1991,-0.01312062500177303
2023,1992,0.004461461661128666
2023,1993,0.05877176743208945
2023,1994,-0.04950643758121841
2023,1995,-0.013718471205799838
2023,1996,0.030850131647944368
2023,1997,0.0008407583797660212
2023,1998,0.01446851433250651
2023,1999,-0.008043071417591446
2023,2000,-0.017222298668471914
2023,2001,0.017412281837184504
2023,2002,0.006955755491677415
2023,2003,-0.01578103251295311
2023,2004,0.02536644904741675
2023,2005,-0.018951977581529056
2023,2006,0.01934579467521297
2023,2007,-0.019474134535756554
2023,2008,0.017231952217750673
2023,2009,-0.01885401709703262
2023,2010,-0.029143771717462352
2023,2011,0.009009916048870477
2023,2012,-0.006140830278678733
