year,estimate,se
2004,-0.024649179588839498,0.03817232089042673
2005,-0.032276797741125796,0.03648804087506584
2006,-0.07460160759054234,0.03812795130154985
2007,-0.04024512609277797,0.03932476656285911
2008,0.0066587841267672365,0.03934214508983765
2009,-0.013085885799905427,0.03430902511956207
2010,0.009921881257907248,0.03568700255142955
2011,-0.0002795647279367478,0.034716201893078454
2012,0.014125354052848012,0.03809139792287144
2013,-0.006859860700255475,0.040160094691748444
2014,0.022889316903202644,0.03547469361400746
2015,-0.03477570410628487,0.0402708715835735
2016,0.050437074208307994,0.037787818763430576
2017,-0.026297751028419934,0.039432086737505645
2018,-0.003273203205738685,0.0330557846531043
2019,0.015342996832604755,0.03633764743764413
2020,-0.0034363401830244758,0.036763390122512576
2021,0.021968315560119744,0.03684883452826791
2022,0.014014428704366914,0.03639053221186097
2023,0.06471765424150235,0.034986975836614746
2024,0.0082970061293933,0.03658364241729361
