e,estimate,se
-10,0.018694984702808812,0.013760776018491877
-9,-0.009014785193208344,0.013630747320289488
-8,0.014123242971518884,0.01604931041739185
-7,-0.023379044378057903,0.015116092203705715
-6,-0.0026306396277670945,0.013124045675204993
-5,0.0037665669480149077,0.013403960050547482
-4,0.00729948955640165,0.011508425728652672
-3,-0.006267913736209478,0.010396517455433407
-2,0.001240110600535816,0.011752087614324358
-1,0.008239832364583258,0.011651501924007218
0,-0.007146246928619058,0.010865847719889382
1,-0.008416917376110103,0.011439548077027704
2,-0.006387865964478625,0.011829862174229572
3,-0.004304594791518673,0.012243220007867183
4,-0.011108902034044483,0.011277592785105324
5,-0.012063874377365578,0.011434600797016449
6,0.0048128323224089385,0.012242883521322124
7,3.0169836532856395e-05,0.016468510077306712
8,0.0018321890830245654,0.01463525616301461
9,-0.017051500983371756,0.01645165469775357
10,-0.019851240370683934,0.014739445487836025
