year,estimate,se
2004,-4.804407743278443,2.7731262868557467
2005,-0.047156306412734494,2.6067956775284595
2006,-0.3152171612285706,2.6675209545629848
2007,-3.200763393968284,2.686337241659069
2008,0.1777340778668446,2.9232992813623984
2009,-0.8799412876231055,2.229874595612768
2010,-2.7493159965002425,2.6017028942175098
2011,2.286019329495205,2.611653221703923
2012,3.0021706205997574,2.4774432092816348
2013,0.504656575301889,2.7817573077158917
2014,1.3892780943223761,2.6073837992910636
2015,-3.128783733738811,2.3854781309108035
2016,2.043830523789281,2.5056143511966598
2017,-0.4144844111827147,2.3127467170753695
2018,-0.35734090740899294,2.0906884183000045
2019,1.0879144789481587,2.449089375467098
2020,-1.4543330048520604,2.3277075510814558
2021,-0.43535235887319457,2.368898541117942
2022,3.1952379141684943,2.240138709450963
2023,2.515073361546099,2.172806725881216
2024,-1.0569895936474565,1.9539144555990173
