year,estimate,se
2004,-0.5247264101754148,1.892291779017865
2005,0.3286026171216818,1.9047988337550754
2006,0.14316005906912466,1.7279000859237144
2007,-0.2777685165450343,1.8371467821531635
2008,1.071916268757704,1.9629296276463577
2009,-0.9582567295708412,1.4595162370033417
2010,-1.0840113276686685,1.5184197439456937
2011,-1.394505473358249,1.625144342753801
2012,-0.1758766352273335,1.6557745329859987
2013,-0.5148003178300438,1.805835320756972
2014,0.31845235769671393,1.6143821584326936
2015,-2.811514488838957,1.601923667751257
2016,2.0256814564087757,1.6081013575212013
2017,1.6983996305161813,1.725828262240962
2018,0.1157862594204079,1.7340837539829235
2019,1.5321853640899572,1.670174028003085
2020,-0.2772123799466814,1.460368503514869
2021,0.8614987729954182,1.4314541953261397
2022,-0.5102692876774043,1.4771111129552965
2023,-0.17530504972677396,1.4500039434189433
2024,0.2949264875421757,1.5242411927776978
