g,t,ATT
2014,2011,
2014,2012,-0.1072029536856168
2014,2013,0.01069565459406302
2014,2014,-0.008637802862278915
2014,2015,0.019404158843208896
2014,2016,0.514558203821736
2014,2017,0.024059582322197515
2014,2018,-0.03741403416892802
2014,2019,-0.022541795434893513
2014,2020,-0.027614554701446414
2014,2021,-0.029876008017077793
2014,2022,0.04815791302250439
2014,2023,-0.0005154249665696026
2014,2024,0.10058652494005912
2018,2012,-0.1072029536856168
2018,2013,0.01069565459406302
2018,2014,-0.008637802862278915
2018,2015,0.4446020035870577
2018,2016,-0.3792967729251656
2018,2017,-0.03260784547741563
2018,2018,-0.030200903037937918
2018,2019,-0.020537138076930892
2018,2020,-0.05167413702364393
2018,2021,-0.05393559033927531
2018,2022,0.024098330700306876
2018,2023,-0.024575007288767117
2020,2012,-0.1072029536856168
2020,2013,0.01069565459406302
2020,2014,-0.008637802862278915
2020,2015,0.02804196170548781
2020,2016,0.03726326895640425
2020,2017,-0.03260784547741563
2020,2018,-0.06147361649112554
2020,2019,0.01487223873403451
2020,2020,-0.005072759266552901
2020,2021,-0.00733421258218428
2020,2022,0.0706997084573979
2021,2012,-0.21359796855370128
2021,2013,0.04201832514010191
2021,2014,-0.11590534237832223
2021,2015,0.04697556606244052
2021,2016,0.1123703517797267
2021,2017,-0.08049703592418761
2021,2018,-0.08770806785001188
2021,2019,0.08623632490040667
2021,2020,0.3708008518548951
2021,2021,-0.3486930067338972
2021,2022,-0.38167447522782133
2021,2023,-0.11501455730111694
2021,2024,0.6610463369790686
2022,2013,-0.3549182224221275
2022,2014,0.11088989229730042
2022,2015,-0.09148573345409153
2022,2016,0.1494100700073911
2022,2017,-0.14475464652840248
2022,2018,0.009625002793125476
2022,2019,-0.056226380550216504
2022,2020,0.5574848208743494
2022,2021,-0.5648190334565337
2022,2022,0.18730278958660218
2024,2013,0.09685474163453235
2024,2014,-0.013102252012098844
2024,2015,-0.019109867552490112
2024,2016,0.0027204603237327707
2024,2017,-0.03260784547741563
2024,2018,-0.06147361649112554
2024,2019,0.0961092049949385
2024,2020,-0.08630972552745689
2024,2021,-0.0022614533156313787
