e,estimate,se
-6,-0.02568553455307704,0.07113717280751379
-5,0.022802372029027736,0.06998020711061945
-4,-0.03045158063073045,0.05042230938537631
-3,,0.18233639592076564
-2,-0.09663229078275891,0.19336197402174743
-1,-0.0014863083185961245,0.1082433725206069
0,-0.08376768613147308,0.10135233171339146
1,-0.13721293950436245,0.10901755823024754
2,-0.06120108254953741,0.16340654924439438
3,0.18657706394447487,0.20638830781778283
4,0.022803193351382176,0.04455837042072111
5,-0.024532198194760962,0.05518416635901623
6,-0.027614554701446414,0.046489102616126245
