e,estimate,se
-6,0.14272489801415758,0.12724627787957785
-5,-0.1977538576319227,0.12151122625453782
-4,0.06544791986420714,0.10609561503188533
-3,0.0916923002531482,0.11037945587452484
-2,-0.02851635733187658,0.10850634043267617
-1,-0.11563505396275407,0.09192546794558401
0,0.17684822842820186,0.09868826523706753
1,0.0398385705731343,0.08871253202113587
2,-0.023541446775864668,0.10532750279712515
3,-0.050256093561489794,0.11447591510597166
4,-0.14579405013375327,0.19576176495472047
5,-0.018341059444294545,0.3380802619628544
6,-0.2431148210741071,0.25378534504751815
