year,estimate,se
2014,0.02365374861843054,0.03330211269930026
2015,-0.03257554384989912,0.024948648272977814
2016,0.031139249995844283,0.055349209624049545
2017,0.020813105099401298,0.031518766138448215
2018,0.02420718334575255,0.04154393509907987
2019,-0.0009493394016964797,0.03440138086181221
2020,-0.019998960747085393,0.02569086658335398
2021,-0.03051762505780368,0.020583527669442103
2022,-0.01922830838358481,0.02216800353309068
2023,0.07997914586046054,0.08108471894846425
2024,-0.028333428429027967,0.024553850587515948
