e,estimate,se
-6,-0.2157464025120575,0.14722901047216325
-5,0.14335546897218748,0.08513421939110925
-4,-0.06287271389495216,0.08640372273952197
-3,-0.02474806183695855,0.023589077741060897
-2,-0.055260260171605645,0.03492875042635045
-1,0.08232950812856336,0.0496531379112875
0,-0.012957924729647208,0.05829109545268821
1,0.009729632820582488,0.0670786252849374
2,-0.007929028437784808,0.07708011143941293
3,-0.013047842180928205,0.06780598833706346
4,0.057155641447187835,0.10681372627641027
5,0.5161538728785768,0.3920604894370305
6,-0.09930426298839003,0.0888286763973409
