year,estimate,se
2014,0.15259164902458422,0.365388636856832
2015,0.3168424596841459,0.3829229329309489
2016,0.2779835129493724,0.32077496472758676
2017,0.13841502453333443,0.35468417470881725
2018,-0.169029985756175,0.2595041348809377
2019,-0.10335187254156346,0.3075897555276462
2020,-0.0944884093340756,0.22433414696096468
2021,-0.2398376948444095,0.21553257252073676
2022,-0.10473159641660237,0.23797629612064672
2023,-0.4202251201603847,0.36650480675381125
2024,-0.9166921322012284,0.35774035491027406
