e,estimate,se
-6,-0.06603281730005245,0.05029759074217877
-5,0.1079971552103904,0.050329913568140004
-4,-0.008810691819599484,0.053421961387438495
-3,0.013290708350991675,0.06708737597938468
-2,-0.012937510620226661,0.06953004561235447
-1,0.012794587277613139,0.05272523127408066
0,-0.038163706340387286,0.052443685395322626
1,-0.021992176080323805,0.06386220948805371
2,-0.021377826000458403,0.06372534120407146
3,0.024485575591858807,0.09700575674745626
4,0.07567230118633543,0.07946871091070194
5,-0.10758782153497946,0.07036250392355382
6,-0.057517061103226616,0.05180774983699661
