year,estimate,se
2014,-0.04000271188314182,0.054043943554200974
2015,-0.09147455758119694,0.04811937737854312
2016,-0.03314611248324708,0.05527002056934873
2017,-0.05923609794113635,0.04973487740804194
2018,0.011625003632136902,0.04088335603053393
2019,0.011530960059406008,0.035948331636577215
2020,-0.018332369236068013,0.024388701860259054
2021,-0.03540073275063734,0.021759438516738592
2022,-0.038616917551908124,0.022241529077020365
2023,0.0820087034782896,0.08570354129222489
2024,-0.04345505214519993,0.026238927697501357
