e,estimate,se
-6,-0.3197292997096536,0.0901705316676471
-5,0.18851748102386537,0.12770523877886972
-4,-0.12386296442475414,0.06024788268828866
-3,0.03613812825309431,0.14055438736644302
-2,0.07408529572667157,0.07051929837163178
-1,-0.025372086797992674,0.052217927178252944
0,-0.026263550322111417,0.04701908526738297
1,-0.015346460621087783,0.04881697064370957
2,-0.03732249021094427,0.05144617151037038
3,0.0542367011791166,0.05691929682209643
4,-0.09886655094743832,0.1025443274525414
5,-0.17278233790407216,0.1447649029242741
6,0.000530762793363726,0.20670385446859643
