year,estimate,se
2014,0.01623784715760196,0.04466454289604933
2015,-0.02829610749909752,0.03361324731893022
2016,-0.0024510419731550923,0.04633092691008207
2017,-0.009479233974772475,0.03669347934331223
2018,0.019671948837694887,0.04198348747429426
2019,0.0172758021979974,0.04136672560197221
2020,0.020004745256196648,0.03407565038476334
2021,-0.04518544936891283,0.02484150162617042
2022,-0.005499879618600444,0.029100118738646534
2023,0.04831837057039688,0.070566861646474
2024,-0.04029559125879599,0.02434500464513438
