year,estimate,se
2014,0.07880910455016911,0.036091661765735854
2015,-0.012357142260201267,0.013642561610547855
2016,0.0718908420652011,0.04804105257957136
2017,0.0016223303749180133,0.019062170199586385
2018,0.053133479719830734,0.037174411071921765
2019,0.012186327394667386,0.025038912061434077
2020,0.027522043126831465,0.03137730442849892
2021,0.004967930123601645,0.024149674806789655
2022,0.004246990725521632,0.022391100803928893
2023,-0.0031953166652833815,0.03464235130717689
2024,0.09357601408782297,0.08144288055020076
