year,estimate,se
2014,0.013256183170447633,0.18104688913310601
2015,0.04447515282083225,0.17743996605035753
2016,0.1359577687764284,0.17476635794900738
2017,0.016203298577486702,0.16687807849225023
2018,0.03831843457436627,0.12416850954652349
2019,0.032174817605493684,0.14308523645285942
2020,-0.006306348374455872,0.10897006284541466
2021,-0.14791678460448957,0.0981951624513905
2022,-0.07773663198057665,0.12094753881364441
2023,-0.1033091290292143,0.1975807833253586
2024,-0.5661863732610894,0.19468265579730376
