year,estimate,se
2014,-0.176283414370978,0.10442420094718047
2015,-0.13282263137515188,0.11363121136038401
2016,-0.18000383399257236,0.10600349219576642
2017,-0.05088272832811164,0.10444211621364169
2018,0.03165317584862215,0.087735136105755
2019,0.016465610609274837,0.07625679143688899
2020,-0.08246065257895892,0.06931232195122113
2021,0.018540797966379276,0.05758149986611391
2022,-0.10045784969229765,0.06260274322997121
2023,-0.0730204992190147,0.09898350228943205
2024,0.10276876972265485,0.1372071984859798
