year,estimate,se
2014,-0.04972972859710865,0.05204889458943237
2015,-0.045423854336286096,0.0521691656431013
2016,-0.058210687728757496,0.05209781832371094
2017,-0.045137365148813974,0.05184594964886773
2018,0.008813878621853061,0.015687738348929812
2019,0.004989143942429445,0.01539572313028273
2020,-0.011664624301061856,0.009352341367013179
2021,-0.005923629942938382,0.00882088056047277
2022,-0.0013030096037265346,0.008131089187398985
2023,-0.004952519369998366,0.007014757801513115
2024,-0.015458274149815009,0.013987510565900526
