year,estimate,se
2014,0.03202634542011196,0.02491652309196541
2015,0.009116789727989872,0.01591330249986357
2016,0.015205406748711753,0.02165505413456534
2017,-0.006056171093987418,0.009929771869580621
2018,-0.0005689245880140791,0.009147451282701079
2019,0.026321218005720765,0.020519967724319643
2020,0.008519748370380843,0.01198883443823833
2021,0.0038045553312235133,0.010830740420443134
2022,0.004529655896389678,0.006632102896774297
2023,0.0560452956189974,0.03232346921391678
2024,0.0010939058501843388,0.012761905511588033
