e,estimate,se
-6,0.015539662881745688,0.012863509893289478
-5,-0.009329622831565234,0.016966058484629412
-4,-0.0030483813535865834,0.01170970037557796
-3,0.016911722636812728,0.011634744514545086
-2,-0.01298158651938197,0.013204369046856951
-1,-0.007084714056329427,0.008987404168537055
0,0.007296802790889726,0.007534418215868779
1,0.019666570186154492,0.013406679360333467
2,0.023770875437850898,0.01714067395942394
3,0.004903404809166006,0.010380575479503542
4,-0.005245372279267744,0.005871245980497975
5,0.06302529156280383,0.046935139248863805
6,-0.004156749146537053,0.011824743431736826
