e,estimate,se
-6,-0.049342173236582264,0.03535553435296471
-5,0.04221910274397603,0.03588870497010982
-4,-0.012154340090794039,0.017825492723928377
-3,-0.02395487936468223,0.023425217373561274
-2,0.025815795007085154,0.019251698871062307
-1,0.01445269081587831,0.007239394292586433
0,-0.0023956275328853903,0.0072147499038737566
1,-0.043116747298187215,0.016629808707078152
2,0.007793211087148168,0.0052472595573829035
3,-0.014868018445796301,0.011151355461195294
4,-0.0027062337479029676,0.00756862744836826
5,-0.0006294998790074451,0.008615349529980183
6,-0.12166852683480368,0.1390048766090072
