e,estimate,se
-6,0.1593089401773924,0.13087104181376508
-5,0.049521067584022166,0.1627355099836782
-4,-0.0740161572059682,0.18711145347081495
-3,-0.013562148355344696,0.21703516698980185
-2,-0.04963964735882803,0.2884794078599754
-1,0.49561635066356147,0.3257377734778915
0,0.36848039216649686,0.2076182400285183
1,-0.025636722614180506,0.27704359062570033
2,0.11834974909454991,0.35484283703391906
3,-0.6230481816525336,0.45307617338883466
4,0.5072634122386654,0.36972847546872045
5,-1.2470068954962965,0.14956203234429138
6,-0.9387678723598388,0.6971814899165324
