,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-2.8362854822436177,1.5011396683941496,,
"ATT(MA 2021, 2022)",-1.4818799093074126,1.6983931375036203,,
"ATT(CT 2022, 2021) [pre]",-7.214625852178077,2.3021274853662197,,
"ATT(CT 2022, 2022)",3.0596161670187456,2.5794422939763857,,
event e=-1 (pre),-7.214625852178077,2.3021274853662197,-7.214625852178081,0.27479985466892304
event e=0,-1.1248799432457677,1.2981570311770851,-1.0789932843930807,3.197407645511467
event e=1,-1.4818799093074126,1.6983931375036203,-1.481879909307427,0.32641681059499666
group MA,-2.159082695775515,1.3395453511616464,-2.159082695775526,0.23172193331139163
group CT,3.0596161670187456,2.5794422939763857,3.059616167018735,0.34380433020463114
simple ATT,-1.2730749852457406,1.1648413801675572,-1.2451588680462689,1.202406890003999
