,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-0.06435300349284845,0.032110286311860504,,
"ATT(MA 2021, 2022)",-0.06478430232978294,0.03265966660773383,,
"ATT(CT 2022, 2021) [pre]",-0.09250542507420245,0.05065602251790846,,
"ATT(CT 2022, 2022)",0.012616497142699523,0.05745590684142617,,
event e=-1 (pre),-0.09250542507420245,0.05065602251790846,-0.09250542507420279,0.007889209504760535
event e=0,-0.04201103825025395,0.027826178471876382,-0.04141199955730597,0.024007886049307443
event e=1,-0.06478430232978294,0.03265966660773383,-0.06478430232978283,0.008042983980974965
group MA,-0.0645686529113157,0.027423218799406547,-0.0645686529113158,0.006008990412515225
group CT,0.012616497142699523,0.05745590684142617,0.012616497142699305,0.008541080825542823
simple ATT,-0.05146449804738881,0.02455284654594898,-0.051051615497232784,0.017999847803055455
