,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-0.007931916756973023,0.039157035411000844,,
"ATT(MA 2021, 2022)",0.04009016126263809,0.04042754843329523,,
"ATT(CT 2022, 2021) [pre]",-0.003361746156185008,0.05889758506890906,,
"ATT(CT 2022, 2022)",0.005641000584961864,0.059101744674773235,,
event e=-1 (pre),-0.003361746156185008,0.05889758506890906,-0.003361746156185003,0.006516362309990515
event e=0,-0.003009747162602294,0.03274994072546397,-0.0028809363755563154,0.00646048134829727
event e=1,0.04009016126263809,0.04042754843329523,0.04009016126263809,0.008633591018825824
group MA,0.016079122252832534,0.03422027032402283,0.016079122252832534,0.006355065549261225
group CT,0.005641000584961864,0.059101744674773235,0.005641000584961753,0.007993466300095236
simple ATT,0.01376725313092914,0.029775511203789004,0.013692921961961962,0.006132617580370951
