e,estimate,se
-6,0.022673626599902186,0.008849024304995432
-5,0.002246753336515088,0.011575057210899348
-4,-0.0006040751229423046,0.01276706388749406
-3,0.005547364226893009,0.015135662993746118
-2,-0.001884867688116063,0.014948925727952875
-1,0.020475437981208686,0.017429295803239625
0,-0.037794725095396796,0.018549863098836567
1,-0.005396721748780381,0.021041910945974143
2,-0.0072655149249283135,0.019976727691858924
3,-0.012079338628707992,0.020480293173816794
4,-0.004304507236855095,0.023425534546521628
5,-0.02629992787183684,0.019726930437757452
6,-0.011734802847209087,0.0250955025396236
