e,estimate,se
-6,-0.050504585958874915,0.031046828793918967
-5,0.027232631079421053,0.031112192404018427
-4,0.018505542135854404,0.029686377541412103
-3,-0.035110832159379914,0.0320959194139812
-2,0.04087692311781719,0.03092441597415412
-1,-0.029390114359600046,0.027753121178280327
0,0.029863456285329385,0.02626457345213294
1,0.0030436660352182706,0.031585468998787614
2,-0.00985823404471136,0.03176267813393673
3,-0.003964665967711159,0.03554498985320922
4,0.008933217524904875,0.03437159713343354
5,0.03734046606194902,0.03403773761087764
6,-0.0014402507036830575,0.0406455447066719
