e,estimate,se
-6,-0.010724394857845028,0.033556410125075195
-5,-0.010494610152465665,0.03816301315961846
-4,0.008268021481648494,0.03640113699223472
-3,-0.008431810144328528,0.030454838743923813
-2,0.04314375148064494,0.03203445394252966
-1,-0.012664903932754186,0.03420849536561697
0,0.015242956353741824,0.033484306008746696
1,0.013344757290302935,0.03580928626698115
2,0.0025014974906188378,0.035500193900305635
3,-0.008908750818997294,0.03766658957376854
4,-0.02228700009913033,0.037642302258287894
5,0.00813083445721979,0.03931937786864367
6,0.012458362347257064,0.03924329946550368
