e,estimate,se
-6,0.006854302365350839,0.03599865924300455
-5,0.03797245542622753,0.03671164338574846
-4,-0.018140702376730163,0.03761565966158718
-3,-0.005559805890487432,0.03844321576010512
-2,-0.025817940613428857,0.03469359482972317
-1,0.013559429145449397,0.0340687012460997
0,-0.029777812696128253,0.03935461731147953
1,0.03289440759047778,0.034374792528280754
2,0.028309654554872825,0.03796770893095017
3,0.048460942881986394,0.039197782166243894
4,0.05636575242079873,0.03921387554779781
5,0.035840881911233746,0.0439384973328327
6,0.009919383949852574,0.04454875815465832
