e,estimate,se
-6,0.014032431600065497,0.03668181334894017
-5,0.030313145313041436,0.03601170591643413
-4,-0.01740146261782386,0.03643759711194032
-3,6.0094533949291924e-05,0.03814588446132959
-2,-0.006116494186624669,0.03571588660761404
-1,-0.013654323678031592,0.034541420248054136
0,-0.02172995739300889,0.040111108402716755
1,0.02294990908715629,0.034560677089301294
2,0.022690969175338027,0.03867104778069424
3,0.06353990883424535,0.038898525276232325
4,0.09010709893740644,0.03882509654472386
5,0.05296425493298436,0.04394920786355145
6,0.021277733088064632,0.04676819250856927
