e,estimate,se
-6,0.010775674177456966,0.020773914593067624
-5,-0.0008367390866460614,0.022795488287055094
-4,-0.00973817446161444,0.01848038538134282
-3,0.024566572697210347,0.021521106762183582
-2,0.008452516611421408,0.022518234298739812
-1,-0.020269133180332098,0.021711736987317334
0,0.01480553630385552,0.0230828082636836
1,0.024751702251050053,0.02276385275897387
2,0.01379122720609518,0.027505890097032856
3,0.01544670823958153,0.023792829825465423
4,-0.003074054766525441,0.022533337991292358
5,-0.02003019729765251,0.0228287374335437
6,0.029624883109338133,0.03341921035750468
